id,mean,2.50%,50%,97.50%,n_na,temp
1103,9.756704188,9.507012199,9.756318992,10.00702407,0,28.02
1104,9.750483815,9.499831497,9.750149481,10.00074026,0,28.03
1105,9.744290968,9.492819841,9.743849015,9.994689504,0,28.04
1106,9.738125816,9.485975156,9.737854104,9.988720139,0,28.05
1107,9.731988537,9.479299667,9.731709652,9.983438215,0,28.06
1108,9.725879303,9.472678152,9.725660999,9.977981614,0,28.07
1109,9.719798295,9.466225408,9.719734966,9.972874458,0,28.08
1110,9.713745689,9.459111062,9.713774719,9.966745191,0,28.09
1111,9.707721667,9.452283106,9.707824389,9.961088398,0,28.1
1112,9.701726416,9.44564871,9.701965782,9.955521056,0,28.11
1113,9.695760116,9.439121731,9.696248489,9.950301112,0,28.12
1114,9.689822953,9.432502898,9.690314734,9.945170333,0,28.13
1115,9.683915118,9.425890891,9.684398475,9.939012602,0,28.14
1116,9.6780368,9.419561761,9.678583716,9.934088673,0,28.15
1117,9.67218819,9.413033884,9.673058106,9.929227844,0,28.16
1118,9.666369481,9.40605045,9.667225706,9.924375234,0,28.17
1119,9.660580868,9.399298588,9.661463905,9.919311688,0,28.18
1120,9.654822549,9.393086615,9.655909161,9.914587971,0,28.19
1121,9.649094721,9.38653802,9.650231743,9.909888126,0,28.2
1122,9.643397583,9.380302394,9.644402128,9.904593573,0,28.21
1123,9.637731339,9.374170538,9.638833757,9.900283931,0,28.22
1124,9.63209619,9.368013268,9.632998726,9.894970969,0,28.23
1125,9.62649234,9.361988652,9.627394233,9.889527359,0,28.24
1126,9.620919997,9.355687501,9.621826527,9.88430831,0,28.25
1127,9.615379368,9.349375488,9.616560093,9.878952481,0,28.26
1128,9.609870662,9.343095073,9.611241194,9.874391637,0,28.27
1129,9.604394089,9.336990498,9.605571364,9.868776971,0,28.28
1130,9.598949862,9.330613059,9.600379015,9.8637501,0,28.29
1131,9.593538193,9.324139383,9.594811056,9.858708096,0,28.3
1132,9.588159298,9.317727582,9.589335797,9.853657469,0,28.31
1133,9.582813392,9.311308227,9.584238544,9.849391093,0,28.32
1134,9.577500693,9.305245918,9.579022128,9.845225412,0,28.33
1135,9.572221419,9.299218469,9.573834172,9.840551891,0,28.34
1136,9.56697579,9.293379278,9.568748929,9.835480568,0,28.35
1137,9.561764027,9.287332111,9.563502878,9.830951863,0,28.36
1138,9.556586352,9.281683777,9.558406513,9.826382518,0,28.37
1139,9.551442988,9.275170806,9.553240918,9.821702425,0,28.38
1140,9.54633416,9.269351276,9.548294087,9.816838801,0,28.39
1141,9.541260092,9.26361536,9.543280668,9.812405843,0,28.4
1142,9.536221012,9.257792461,9.538403931,9.807999043,0,28.41
1143,9.531217145,9.252232387,9.533433424,9.803784688,0,28.42
1144,9.52624872,9.245973712,9.528498961,9.79938272,0,28.43
1145,9.521315965,9.24028706,9.523548874,9.794975822,0,28.44
1146,9.51641911,9.234646521,9.518719528,9.790417435,0,28.45
1147,9.511558385,9.228952769,9.513806366,9.786752235,0,28.46
1148,9.506734021,9.223364416,9.508905651,9.7833626,0,28.47
1149,9.501946248,9.217583411,9.504104401,9.778992138,0,28.48
1150,9.4971953,9.211643925,9.499612668,9.775111183,0,28.49
1151,9.492481408,9.206059143,9.494919245,9.771419554,0,28.5
1152,9.487804805,9.20086253,9.490391512,9.76792407,0,28.51
1153,9.483165723,9.195636649,9.485812969,9.763887276,0,28.52
1154,9.478564396,9.190428566,9.481316242,9.760345685,0,28.53
